Modelo;Ativo;Serial
E1912Hc;A100868;BR0HDK1P0759133F2RPM
E1912Hc;A100939;BR0HDK1P0759133D140M
E1912Hc;A100836;BR0HDK1P0759133F2XLM
E1912Hc;A085963;BR0X34PF075912442ERM
E1912Hc;A087705;BR0X34PF0759124J1WFM
E1912Hc;A087851;BR0X34PF0759124J36BM
E1912Hc;A087712;BR0X34PF0759124426XM
E1912Hc;A085976;
E1912Hc;A085808;BR0X34PF0759124426YM
E1912Hc;;CN06JX4Y6418031V334M
E1914Hc;A104686;BR0FCFPK0759138S0MVM
E1914Hc;A104619;BR0FCFPK0759138S1A9M
E1914Hc;A104686;BR0FCFPK0759138S0MVM
E1914Hc;A104525;BR0FCFPK0759138S0KJM
E1914Hc;A106788;BR0FCFPK0759138S0JEM
E1914Hc;A105623;BR0FCFPK0759142E4WNM
E1914Hc;A104591;BR0FCFPK0759138S0ETM
E1914Hc;A104518;BR0FCFPK0759138T3QTM
E1914Hc;A104515;BR0FCFPK0759138S1A7M
E1914Hc;A104656;BR0FCFPK0759138S0NQM
E1914Hc;A104660;BR0FCFPK0759138S1R7M
E1914Hc;;BR0FCFPK0759138S1ABM
E1914Hc;A104679;BR0FCFPK0759138S0F4M
E1914Hc;A104669;BR0FCFPK0759138S0EHM
E1914Hc;A104644;BR0FCFPK0759138T3W8M
E1914Hc;A104680;BR0FCFPK075914421B5M
E1914Hc;;BR0FCFPK0759145Q14NM
E1914Hc;;BR0FCPK075914101JKM
E1914Hc;A104672;BR0FCFPK0759138S0NBM
E1914Hc;A104607;BR0FCFPK0759138S0N7M
E1914Hc;A105991;BR0FCFPK0759142E3Q2M
E1914Hc;A104668;BR0FCFPK0759138S18WM
E1914Hc;A106000;BR0FCFPK0759142E3NWM
E1914Hc;A106711;BR0FCFPK0759138T37HM
E1914Hc;A104540;BR0FCFPK0759138T3WLM
E1914Hc;A104579;BR0FCFPK0759138T3WQM
E1914Hc;A104678;BR0FCFPK0759138S185M
E1914Hc;A104661;BR0FCFPK0759138S1R3M
E1914Hc;A104653;BR0FCFPK0759138S0NVM
E1914Hc;A105583;BR0FCFPK0759141E2G2M
E1914Hc;A099242;BR0FCFPK0759141F0MWM
E1914Hc;A104506;BR0FCFPK0759138S0EJM
E1914Hc;A104612;BR0FCFPK0759138S16HM
E1914Hc;A105637;BR0FCFPK0759141E2G0M
E1914Hc;A104531;BR0FCFPK0759138T3RXM
E1914Hc;A104533;BR0FCFPK0759138T3WSM
E1914Hc;A104575;BR0FCFPK0759138S184M
E1914Hc;A104528;BR0FCFPK0759138T3WJM
E1914Hc;A104576;BR0FCFPK0759138S0NFM
E1914Hc;A104676;BR0FCFPK0759138S18FM
E1914Hc;A104635;BR0FCFPK0759138T3RCM
E1914Hc;A105632;BR0FCFPK0759141E2H8M
E1914Hc;A104659;BR0FCFPK0759138S0NCM
E1914Hc;A104671;BR0FCFPK0759138T3WTM
E1914Hc;;BR0FCFPK0759138S192M
E1914Hc;A104643;BR0FCFPK0759138T3WPM
E1914Hc;A099229;BR0FCFPK0759141E2GGM
E1914Hc;A105999;BR0FCFPK0759142E3PLM
E1914Hc;A104648;BR0FCFPK0759138S0N3M
E1914Hc;A104681;BR0FCFPK0759138S1RRM
E1914Hc;A104651;BR0FCFPK0759138S1S9M
196V3L;A103595;FXBA1145058153
